timestamp,user_id,doc_id,emg_wrist_rms,emg_arm_rms,emg_ratio,emg_burst_count,accel_mag_mean,accel_mag_std,rigid
2025-10-22T23:14:08.141372Z,synthetic_user_48,synthetic_doc_000000,0.6033,0.8273,0.7292,0,0.727,0.5627,0
2025-10-23T00:21:36.141372Z,synthetic_user_26,synthetic_doc_000001,1.6874,2.871,0.5877,8,0.3616,0.1155,1
2025-10-22T12:30:34.141372Z,synthetic_user_19,synthetic_doc_000002,0.4684,0.9803,0.4778,2,0.7156,0.3738,0
2025-10-23T00:53:50.141372Z,synthetic_user_5,synthetic_doc_000003,0.2172,0.9545,0.2276,2,0.2339,0.4456,0
2025-10-23T08:02:19.141372Z,synthetic_user_42,synthetic_doc_000004,2.0481,1.1004,1.8613,6,0.428,0.2615,1
2025-10-22T23:06:05.141372Z,synthetic_user_12,synthetic_doc_000005,0.6447,0.781,0.8255,1,0.6058,0.455,0
2025-10-23T08:53:25.141372Z,synthetic_user_38,synthetic_doc_000006,0.7445,0.9981,0.7459,2,1.2486,0.4732,0
2025-10-23T04:57:52.141372Z,synthetic_user_26,synthetic_doc_000007,0.7382,0.6408,1.1519,2,0.4619,0.5074,0
2025-10-23T06:39:48.141372Z,synthetic_user_16,synthetic_doc_000008,0.1035,0.4946,0.2093,0,0.5939,0.2901,0
2025-10-23T06:19:24.141372Z,synthetic_user_1,synthetic_doc_000009,0.3585,0.5015,0.7149,3,0.5122,0.1641,0
2025-10-22T18:11:18.141372Z,synthetic_user_1,synthetic_doc_000010,0.221,0.0941,2.3495,2,1.0737,0.5319,0
2025-10-22T13:24:20.141372Z,synthetic_user_35,synthetic_doc_000011,1.4071,2.6963,0.5219,6,0.2505,0.2238,1
2025-10-23T01:31:29.141372Z,synthetic_user_10,synthetic_doc_000012,0.5813,0.2886,2.0143,3,0.8193,0.6224,0
2025-10-22T21:03:55.141372Z,synthetic_user_29,synthetic_doc_000013,0.6212,0.7566,0.8211,0,0.3917,0.3126,0
2025-10-22T20:57:14.141372Z,synthetic_user_13,synthetic_doc_000014,0.0588,0.3665,0.1605,1,1.0026,0.3404,0
2025-10-22T21:01:50.141372Z,synthetic_user_11,synthetic_doc_000015,1.7558,2.7486,0.6388,10,0.2083,0.0903,1
2025-10-22T21:24:11.141372Z,synthetic_user_33,synthetic_doc_000016,3.4275,1.3647,2.5115,6,0.2686,0.2602,1
2025-10-22T20:46:55.141372Z,synthetic_user_24,synthetic_doc_000017,0.579,1.0697,0.5413,0,1.4876,0.2254,0
2025-10-22T23:11:42.141372Z,synthetic_user_24,synthetic_doc_000018,0.062,1.0626,0.0584,1,1.3501,0.262,0
2025-10-22T19:13:40.141372Z,synthetic_user_3,synthetic_doc_000019,0.7514,0.0405,18.5415,2,1.2781,0.6667,0
2025-10-23T05:50:17.141372Z,synthetic_user_38,synthetic_doc_000020,0.4184,1.1803,0.3545,3,0.3158,0.4373,0
2025-10-22T22:28:53.141372Z,synthetic_user_20,synthetic_doc_000021,0.2877,0.8331,0.3453,3,0.7876,0.4644,0
2025-10-23T06:37:24.141372Z,synthetic_user_47,synthetic_doc_000022,0.0959,0.5923,0.1619,2,1.1971,0.6976,0
2025-10-22T21:02:37.141372Z,synthetic_user_44,synthetic_doc_000023,0.0258,0.7653,0.0337,1,0.3973,0.449,0
2025-10-22T17:01:24.141372Z,synthetic_user_22,synthetic_doc_000024,0.3366,0.2909,1.157,1,0.5499,0.2371,0
2025-10-23T06:58:39.141372Z,synthetic_user_22,synthetic_doc_000025,0.3695,0.4361,0.8472,2,0.6332,0.1455,0
